分类: 📡卫视频道, 名称: 陕西卫视, 有效: 4, IPv4: 14, IPv6: 0, 最小延迟: 7 ms, 最高速率: 82.22 M/s, 平均速率: 24.31 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 2, IPv4: 14, IPv6: 0, 最小延迟: 266 ms, 最高速率: 3.12 M/s, 平均速率: 2.52 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 3, IPv4: 13, IPv6: 0, 最小延迟: 8 ms, 最高速率: 9.46 M/s, 平均速率: 2.11 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 6, IPv4: 14, IPv6: 0, 最小延迟: 43 ms, 最高速率: 110.41 M/s, 平均速率: 55.86 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 5, IPv4: 14, IPv6: 0, 最小延迟: 63 ms, 最高速率: 82.56 M/s, 平均速率: 18.05 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 4, IPv4: 16, IPv6: 0, 最小延迟: 50 ms, 最高速率: 101.43 M/s, 平均速率: 26.54 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 7 ms, 最高速率: 106.15 M/s, 平均速率: 41.59 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 4, IPv4: 14, IPv6: 0, 最小延迟: 273 ms, 最高速率: 3.37 M/s, 平均速率: 2.32 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 云南卫视, 有效: 6, IPv4: 17, IPv6: 0, 最小延迟: 270 ms, 最高速率: 10.23 M/s, 平均速率: 3.15 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 6, IPv4: 18, IPv6: 0, 最小延迟: 48 ms, 最高速率: 101.68 M/s, 平均速率: 21.93 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 1, IPv4: 14, IPv6: 0, 最小延迟: 1031 ms, 最高速率: 0.59 M/s, 平均速率: 0.59 M/s, 最高分辨率: 1920x1080
